Acre	1850	25.251172131147538
Acre	1900	25.704748333333317
Acre	1950	26.121185
Acre	2000	26.293030487804877
Adygey	1700	8.201000000000002
Adygey	1750	9.948236397748593
Adygey	1800	9.439539999999994
Adygey	1850	9.667731666666667
Adygey	1900	9.906605
Adygey	1950	10.39892666666667
Adygey	2000	11.402810975609752
Aga Buryat	1800	-2.9427167138810186
Aga Buryat	1850	-2.883545000000004
Aga Buryat	1900	-2.584650000000003
Aga Buryat	1950	-1.8659350000000015
Aga Buryat	2000	-1.0547560975609755
Alabama	1700	15.531769230769234
Alabama	1750	16.742351201478748
Alabama	1800	16.882303333333322
Alabama	1850	16.887615000000004
Alabama	1900	17.23679000000002
Alabama	1950	17.33116833333334
Alabama	2000	17.98201818181819
Alagoas	1800	23.97666666666667
Alagoas	1850	24.283017006802748
Alagoas	1900	24.628431666666657
Alagoas	1950	25.03832666666667
Alagoas	2000	25.602865853658532
Alaska	1800	-5.732000000000003
Alaska	1850	-5.324714285714284
Alaska	1900	-4.808511666666665
Alaska	1950	-4.638513333333335
Alaska	2000	-3.4925426829268273
Alberta	1750	-0.24456190476190467
Alberta	1800	-1.7206165803108815
Alberta	1850	-0.5208999999999997
Alberta	1900	-0.00278999999999978
Alberta	1950	0.38257166666666664
Alberta	2000	1.2895999999999999
Altay	1800	0.5616260623229459
Altay	1850	0.7356099999999992
Altay	1900	1.0050933333333327
Altay	1950	1.6413533333333319
Altay	2000	2.506091463414634
Amazonas	1800	25.692263157894732
Amazonas	1850	25.690637755102046
Amazonas	1900	26.061866666666692
Amazonas	1950	26.484474999999982
Amazonas	2000	26.837536585365847
Amur	1800	-5.829552407932009
Amur	1850	-5.701711666666667
Amur	1900	-5.409156666666671
Amur	1950	-4.910389999999997
Amur	2000	-3.7960487804878045
Andaman And Nicobar	1750	27.23327272727273
Andaman And Nicobar	1800	26.803602251407128
Andaman And Nicobar	1850	26.93855499153977
Andaman And Nicobar	1900	27.28831166666663
Andaman And Nicobar	1950	27.631818333333303
Andaman And Nicobar	2000	28.00767682926829
Andhra Pradesh	1750	27.011454545454548
Andhra Pradesh	1800	26.62900938086304
Andhra Pradesh	1850	26.872310405643738
Andhra Pradesh	1900	27.137625000000003
Andhra Pradesh	1950	27.45193166666665
Andhra Pradesh	2000	27.863579268292657
Anhui	1800	14.747314814814818
Anhui	1850	14.898640000000002
Anhui	1900	15.244920000000002
Anhui	1950	15.54146
Anhui	2000	16.307323170731703
Arizona	1800	14.676513966480455
Arizona	1850	15.31277499999999
Arizona	1900	15.271176666666676
Arizona	1950	15.515673333333316
Arizona	2000	16.309824242424238
Arkansas	1750	15.19098837209302
Arkansas	1800	15.261406666666687
Arkansas	1850	15.321090000000012
Arkansas	1900	15.764721666666679
Arkansas	1950	15.89028666666667
Arkansas	2000	16.584569696969698
Arkhangel'Sk	1700	-4.214307692307693
Arkhangel'Sk	1750	-2.1625636672325976
Arkhangel'Sk	1800	-2.5361916666666655
Arkhangel'Sk	1850	-2.518754999999999
Arkhangel'Sk	1900	-1.9087033333333336
Arkhangel'Sk	1950	-1.7308749999999975
Arkhangel'Sk	2000	-0.4427621951219516
Arunachal Pradesh	1800	13.29335294117648
Arunachal Pradesh	1850	13.514083760683766
Arunachal Pradesh	1900	13.811501666666658
Arunachal Pradesh	1950	14.092828333333319
Arunachal Pradesh	2000	14.48813414634146
Assam	1800	21.340066176470604
Assam	1850	21.624587628865942
Assam	1900	21.87079999999999
Assam	1950	22.19555500000005
Assam	2000	22.501060975609757
Astrakhan'	1750	8.862454545454545
Astrakhan'	1800	8.304849637681157
Astrakhan'	1850	8.63619166666668
Astrakhan'	1900	8.739163333333336
Astrakhan'	1950	9.446934999999995
Astrakhan'	2000	10.760957317073169
Australian Capital Territory	1800	11.145287037037038
Australian Capital Territory	1850	11.373828571428575
Australian Capital Territory	1900	11.476701666666672
Australian Capital Territory	1950	11.74333833333333
Australian Capital Territory	2000	12.419536585365856
Bahia	1800	23.324430555555562
Bahia	1850	23.64739625850342
Bahia	1900	23.965713333333337
Bahia	1950	24.373718333333347
Bahia	2000	24.99417073170732
Bashkortostan	1750	1.9073244680851058
Bashkortostan	1800	1.1941612318840593
Bashkortostan	1850	1.425504999999999
Bashkortostan	1900	1.703663333333333
Bashkortostan	1950	2.374663333333331
Bashkortostan	2000	3.5915304878048793
Beijing	1800	8.53240625000001
Beijing	1850	8.62782999999999
Beijing	1900	8.946619999999996
Beijing	1950	9.431678333333334
Beijing	2000	10.253634146341462
Belgorod	1700	4.202076923076923
Belgorod	1750	6.139276740237691
Belgorod	1800	5.710423333333331
Belgorod	1850	5.89949
Belgorod	1900	6.115709999999997
Belgorod	1950	6.618235000000005
Belgorod	2000	7.980524390243906
Bihar	1750	24.60995454545455
Bihar	1800	24.014696060037533
Bihar	1850	24.255227758007116
Bihar	1900	24.526650000000025
Bihar	1950	24.85826500000002
Bihar	2000	25.279060975609752
British Columbia	1800	-0.7281402714932127
British Columbia	1850	-0.23489500000000035
British Columbia	1900	0.1735383333333332
British Columbia	1950	0.4637716666666671
British Columbia	2000	1.227484848484849
Bryansk	1700	3.542307692307692
Bryansk	1750	5.407268251273351
Bryansk	1800	5.0487999999999955
Bryansk	1850	5.156924999999998
Bryansk	1900	5.409056666666667
Bryansk	1950	5.844818333333329
Bryansk	2000	7.172109756097561
Buryat	1800	-6.866883852691216
Buryat	1850	-6.748193333333339
Buryat	1900	-6.478709999999998
Buryat	1950	-5.8098149999999995
Buryat	2000	-4.910420731707317
California	1800	14.020083333333332
